0	1.0000
1	0.9986
2	0.9945
3	0.9877
4	0.9782
5	0.9660
6	0.9511
7	0.9336
8	0.9136
9	0.8911
10	0.8662
11	0.8388
12	0.8092
13	0.7774
14	0.7434
15	0.7074
16	0.6694
17	0.6297
18	0.5882
19	0.5451
20	0.5005
21	0.4545
22	0.4073
23	0.3589
24	0.3096
25	0.2595
26	0.2086
27	0.1571
28	0.1053
29	0.0531
30	0.0008
31	0.0117
32	0.0089
33	0.0060
34	0.0030
35	0.0000
36	0.0029
37	0.0059
38	0.0088
39	0.0116
40	0.0142
41	0.0167
42	0.0191
43	0.0212
44	0.0231
45	0.0247
46	0.0261
47	0.0272
48	0.0279
49	0.0284
50	0.0286
51	0.0284
52	0.0280
53	0.0272
54	0.0261
55	0.0248
56	0.0232
57	0.0213
58	0.0192
59	0.0169
60	0.0144
61	0.0117
62	0.0089
63	0.0060
64	0.0031
65	0.0001
66	0.0029
67	0.0058
68	0.0087
69	0.0115
70	0.0142
71	0.0167
72	0.0190
73	0.0212
74	0.0231
75	0.0247
76	0.0261
77	0.0271
78	0.0279
79	0.0284
80	0.0286
81	0.0283
82	0.0280
83	0.0277
84	0.0274
85	0.0271
86	0.0269
87	0.0266
88	0.0263
89	0.0260
90	0.0257
91	0.0254
92	0.0251
93	0.0249
94	0.0246
95	0.0243
96	0.0240
97	0.0237
98	0.0234
99	0.0231
100	0.0229
101	0.0226
102	0.0223
103	0.0220
104	0.0217
105	0.0214
106	0.0211
107	0.0209
108	0.0206
109	0.0203
110	0.0200
111	0.0197
112	0.0194
113	0.0191
114	0.0189
115	0.0186
116	0.0183
117	0.0180
118	0.0177
119	0.0174
120	0.0171
121	0.0169
122	0.0166
123	0.0163
124	0.0160
125	0.0157
126	0.0154
127	0.0151
128	0.0149
129	0.0146
130	0.0143
131	0.0140
132	0.0137
133	0.0134
134	0.0131
135	0.0129
136	0.0126
137	0.0123
138	0.0120
139	0.0117
140	0.0114
141	0.0111
142	0.0109
143	0.0106
144	0.0103
145	0.0100
146	0.0097
147	0.0094
148	0.0091
149	0.0089
150	0.0086
151	0.0083
152	0.0080
153	0.0077
154	0.0074
155	0.0071
156	0.0069
157	0.0066
158	0.0063
159	0.0060
160	0.0057
161	0.0054
162	0.0051
163	0.0049
164	0.0046
165	0.0043
166	0.0040
167	0.0037
168	0.0034
169	0.0031
170	0.0029
171	0.0026
172	0.0023
173	0.0020
174	0.0017
175	0.0014
176	0.0011
177	0.0009
178	0.0006
179	0.0003
180	0.0000
0	1.0000
1	0.9986
2	0.9945
3	0.9877
4	0.9782
5	0.9660
6	0.9511
7	0.9336
8	0.9136
9	0.8911
10	0.8662
11	0.8388
12	0.8092
13	0.7774
14	0.7434
15	0.7074
16	0.6694
17	0.6297
18	0.5882
19	0.5451
20	0.5005
21	0.4545
22	0.4073
23	0.3589
24	0.3096
25	0.2595
26	0.2086
27	0.1571
28	0.1053
29	0.0531
30	0.0008
31	0.0117
32	0.0089
33	0.0060
34	0.0030
35	0.0000
36	0.0029
37	0.0059
38	0.0088
39	0.0116
40	0.0142
41	0.0167
42	0.0191
43	0.0212
44	0.0231
45	0.0247
46	0.0261
47	0.0272
48	0.0279
49	0.0284
50	0.0286
51	0.0284
52	0.0280
53	0.0272
